id,company_name,industry,address,city,state,zip,phone,website,employee_count
52,"Mosley, Morris and Simmons",Education,757 Bryce Wall Apt. 952,South Scott,Minnesota,95866,417-914-7274,gonzales.info,1622
53,Davis Inc,Finance,130 Melinda Path,East Chrisberg,Washington,30665,281.441.9040x3,nelson.com,7464
54,"Walsh, Wright and Deleon",Finance,89646 Eaton Cove,Clarkland,Massachusetts,16910,(777)893-4471x,haas.com,1198
55,"Morales, Jenkins and Frederick",Finance,165 Timothy Ford,Douglasmouth,Illinois,06225,897-842-3082x8,harmon.com,7589
56,Farmer-Ryan Incorporated,Commerce,570 Sarah Wells,Johnbury,Florida,74865,417-618-2278,www.brennan.net,6922
57,Bailey-Martinez,Healthcare,8025 Snow Ville,Lifort,Ohio,42943,001-270-963-75,austin-wilson.com,8796
58,Weaver-White,Retail,497 Powell Row,New Davidmouth,Maryland,74184,+1-442-289-977,walters.com,2436
59,Mendoza-Johnston,Finance,1491 Hartman Forks,New Susan,Georgia,05011,480.536.5034,porter.info,6494
60,Stone-Hernandez,Academic,9526 Wheeler Parkways,Ericksonport,Iowa,62746,(955) 616-9409,www.patton.com,4325
61,"West, Bryan and Jones",Manufacturing,87272 Lori Inlet,Michaelton,Colorado,67616,(939)794-6044x,ortiz.org,4543
62,Davis Group,Healthcare,6701 Richard Junction Apt. 333,Taylorburgh,Ohio,37010,831.978.1080x1,www.lewis-morales.com,8289
63,Murphy Ltd,Manufacturing,24905 Paul Forge,Jonathanbury,Indiana,55140,001-803-911-70,cox.com,4124
64,Anthony-Owens,Healthcare,409 Morales Crest,Adamsland,Connecticut,70957,+1-999-851-535,miller-wright.org,6064
65,Levine-Mcdonald,Technology,546 Patricia Avenue,North Clinton,New York,71766,809-410-3788x8,yang-snyder.info,9074
66,"Hernandez, Ford and Berry",Finance,729 Stone Road Suite 982,Pettyhaven,Connecticut,75966,693-507-2219x2,stevenson.com,3451
67,Schmidt Group,Education,47106 Gregory Ways,Robertsonton,Wisconsin,68052,454.237.8207,turner-sullivan.biz,8676
68,"James, Atkins and Alexander",Finance,924 Morrison Square Apt. 752,Novakport,SC,96822,001-479-235-64,www.murray.com,6547
69,Chase and Sons,Technology,367 Jones Village Suite 179,North Scottport,Missouri,18780,876-468-1548x8,roberson.biz,1842
70,Kim-Wolfe,Finance,93248 Andrea Course,Port Robin,VA,60983,5279484677,www.thomas.com,3442
71,Garcia-Nolan,Retail,182 John Mill Suite 889,West Nathan,Arizona,37580,(465)790-5151x,www.aguilar.com,6553
72,Hahn PLC,Retail,96513 Banks Route Suite 263,Martinmouth,Ohio,39419,+1-471-320-970,perez.org,4355
73,Lloyd-Moreno,Healthcare,6938 Jacobs Alley Apt. 407,South Andrea,Louisiana,60853,001-690-840-71,decker-palmer.com,4301
74,Johnson LLC,Education,674 Latoya Junction,Stephaniestad,Michigan,36007,951-252-8752x5,johnson.com,1707
75,"Estes, Baker and Rodriguez",Banking,5698 Paul Ports Apt. 406,New Saraside,New Jersey,90528,001-735-861-59,phillips.biz,2557
76,Johnson Ltd,Technology,06789 Daniel Row,South Sara,Texas,60714,319.364.4162x5,williams.biz,5474
77,Gray Group,Technology,4687 James Forge Apt. 980,Brianshire,Wisconsin,62994,582.208.1219x1,miller.com,9205
78,James-Bradley,Education,10659 Henry Fork Suite 678,Jeffreystad,Arizona,02773,486-594-9999x2,monroe.com,9572
79,"Taylor, Richardson and Edwards",Finance,10278 Mcintyre Crest Suite 473,Heatherfort,Indiana,26738,321 672 7155,www.york-joseph.com,9074
80,"Russell, Thomas and Smith",Education,408 Todd Drives Apt. 147,Walterhaven,Illinois,42752,771-582-4253x0,james-powell.com,7249
81,Richardson Inc,Technology,539 Webb Hollow,Jonathanport,Missouri,14210,620-823-3912x1,foster.info,6059
82,Mendza Group,Retail,8783 Erin Ranch Apt. 878,Christianshire,Iowa,15208,9883398225,harris.net,19
83,Dawson Ltd,Education,66443 Norman Cove,Jeremyshire,Pennsylvania,54557,349-739-8198x0,goodwin.com,4925
84,Osborne-Lowe,Technology,66232 Salazar Greens,Johnfurt,Washington,51640,323.529.7300x6,lucas-morales.com,9343
85,"Cross, Hughes and Parker",Manufacturing,10987 Henry Freeway Apt. 380,North Timothytown,Virginia,71816,885-857-5386,mckinney.info,6745
86,Davis-Kidd,Healthcare,777 Moore Mountain,South Crystal,Wisconsin,39593,001-281-927-45,morris.net,5627
87,Hawkins-Kirk,Technology,4260 Johnson Union Suite 324,Youngchester,Ohio,70371,(809)956-5553x,barnes.com,9499
88,Scott-Lambert,Education,74124 Joseph Lakes,Bernardside,Massachusetts,13012,(755)211-5994,wyatt.com,897
89,"Green, Johnston and Blake",Finance,9770 Tran Road Suite 435,North David,Alabama,04263,5666186236,watts.info,946
90,Jones-Williams,Healthcare,51238 Andrea Isle,Mullenbury,New York,53591,+1-522-566-093,www.goodwin-stokes.com,3691
91,"Castillo, Warren and Griffith",Medicine,30913 Scott Manor Apt. 636,Salaston,IN,93008,(483)985-7865,www.peterson.com,8300
92,"Riggs, Roman and Rice",Healthcare,124 Pamela Summit Apt. 449,Lake Matthew,AZ,90612,164-847-4016,ramos.com,7369
93,"King, Thompson and Guerrero Corporation",Technology,05395 Grant Center,Lake Robert,Oregon,15397,001-617-975-89,www.maynard.biz,5178
94,Young PLC Co.,Industrial,440 Hill Port Apt. 974,New Laurie,Illinois,29206,+1-339-642-104,www.burgess-thompson.com,6226
95,Stewart-Lee,Healthcare,860 Ross Gateway Suite 653,Lake Lisafort,Pennsylvania,48147,(293)937-7148,johnson-george.com,4871
96,Christian-Roberts,Education,301 Keith Garden Apt. 805,East Scott,Missouri,13278,(817)818-6707x,perez-finley.info,7017
97,"Garcia, Wiggins and Lopez",Finance,71478 Harper Ridge Suite 915,Meganburgh,Florida,88789,001-749-491-25,price.biz,400
98,"Bright, Campbell and Nguyen",Manufacturing,801 Hernandez Neck Suite 428,Brownport,Arizona,07606,(987)283-4055,reed.com,7896
99,Turner-Brown,Healthcare,687 Teresa Row,Floydmouth,Texas,91767,(862) 846-2873,www.moreno.com,9300
100,Martinez Ltd,Finance,1912 Christopher Club Apt. 674,Hardymouth,Pennsylvania,05053,(933)733-2255x,noble-livingston.com,4626
